Date,Rainfall ,MinT,MaxT,Env,backup
1/1/17,0,6,28.5,Meiso,28.5
1/2/17,0,6,29.8,Meiso,29.8
1/3/17,0,5.9,29,Meiso,29
1/4/17,0,3.8,29,Meiso,29
1/5/17,0,5.1,28.5,Meiso,28.5
1/6/17,0,3,28,Meiso,28
1/7/17,0,4.5,29,Meiso,29
1/8/17,0,3,31.2,Meiso,31.2
1/9/17,0,3,28,Meiso,28
1/10/17,0,4.4,29,Meiso,29
1/11/17,0,5,27.6,Meiso,27.6
1/12/17,0,7,28,Meiso,28
1/13/17,0,8,28.6,Meiso,28.6
1/14/17,0,6.5,30.7,Meiso,30.7
1/15/17,0,6.5,30.7,Meiso,30.7
1/16/17,0,7.2,30.5,Meiso,30.5
1/17/17,0,7.2,29.5,Meiso,29.5
1/18/17,0,7.4,30,Meiso,30
1/19/17,0,8.2,30,Meiso,30
1/20/17,0,8,29.2,Meiso,29.2
1/21/17,0,8.5,30,Meiso,30
1/22/17,0,9.5,30,Meiso,30
1/23/17,0,9.5,30.5,Meiso,30.5
1/24/17,0,8.2,30,Meiso,30
1/25/17,0,10,29.8,Meiso,29.8
1/26/17,0,10.1,28.2,Meiso,28.2
1/27/17,0,10,32,Meiso,32
1/28/17,0,10.2,29.5,Meiso,29.5
1/29/17,0,11.7,30,Meiso,30
1/30/17,0,12.5,30,Meiso,30
1/31/17,0,12,30.2,Meiso,30.2
2/1/17,0,8.6,29.5,Meiso,29.5
2/2/17,0,11.2,28.2,Meiso,28.2
2/3/17,0,12.6,28.2,Meiso,28.2
2/4/17,0,15.7,28.3,Meiso,28.3
2/5/17,0,14.8,30.5,Meiso,30.5
2/6/17,0,13.2,29.6,Meiso,29.6
2/7/17,0,13,29.3,Meiso,29.3
2/8/17,0,12.4,30,Meiso,30
2/9/17,0,9.5,30.6,Meiso,30.6
2/10/17,0,9.6,31.5,Meiso,31.5
2/11/17,0,10.7,34.5,Meiso,34.5
2/12/17,0,13.5,34.6,Meiso,34.6
2/13/17,4.4,19.2,31,Meiso,31
2/14/17,0,17.6,28.5,Meiso,28.5
2/15/17,0,15,29.5,Meiso,29.5
2/16/17,0,15.5,29.8,Meiso,29.8
2/17/17,0,13.2,31,Meiso,31
2/18/17,0,13.4,25.5,Meiso,25.5
2/19/17,0.6,16.8,27.5,Meiso,27.5
2/20/17,0,17,29.5,Meiso,29.5
2/21/17,0,9.5,30,Meiso,30
2/22/17,0,9.7,31.5,Meiso,31.5
2/23/17,0,13.5,31.5,Meiso,31.5
2/24/17,0,15,30,Meiso,30
2/25/17,20.4,18.5,30.5,Meiso,30.5
2/26/17,0,17,28.6,Meiso,28.6
2/27/17,0,17.2,28.8,Meiso,28.8
2/28/17,0,12.8,32,Meiso,32
3/1/17,0,13.2,33.5,Meiso,33.5
3/2/17,0,13.2,34.2,Meiso,34.2
3/3/17,0,13.5,32.6,Meiso,32.6
3/4/17,0,13,32.5,Meiso,32.5
3/5/17,0,13.8,33,Meiso,33
3/6/17,0,14.4,33.2,Meiso,33.2
3/7/17,0,14.3,34,Meiso,34
3/8/17,0,15.5,33.5,Meiso,33.5
3/9/17,0,14.8,32.8,Meiso,32.8
3/10/17,0,12.8,35,Meiso,35
3/11/17,0,5.3,35,Meiso,35
3/12/17,0,16.1,32.1,Meiso,32.1
3/13/17,0,14.2,34.4,Meiso,34.4
3/14/17,0,11.3,33,Meiso,33
3/15/17,0,11.6,34.2,Meiso,34.2
3/16/17,0,11.3,35.8,Meiso,35.8
3/17/17,0,14.1,35,Meiso,35
3/18/17,0,15.4,36.2,Meiso,36.2
3/19/17,3.4,15,37.1,Meiso,37.1
3/20/17,0,15,37,Meiso,37
3/21/17,8.1,15.8,31.2,Meiso,31.2
3/22/17,4,16,35,Meiso,35
3/23/17,0,16.6,32.4,Meiso,32.4
3/24/17,0,16,36,Meiso,36
3/25/17,6.7,17.5,34,Meiso,34
3/26/17,0,19.1,30,Meiso,30
3/27/17,0,17.2,30,Meiso,30
3/28/17,0,17,29.6,Meiso,29.6
3/29/17,0,18,28,Meiso,28
3/30/17,0,16,31.6,Meiso,31.6
3/31/17,0,13.9,32.5,Meiso,32.5
4/1/17,0,14,34.6,Meiso,34.6
4/2/17,0,14.2,33.8,Meiso,33.8
